Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.9,0.0,0.0
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.8,4.177,2.28
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.8,3.948,2.569
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.7,8.32,2.786
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.6,7.758,2.943
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,2.749,1.184
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,8.143,3.13
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,8.284,2.83
pre_1lf3_plasmepsin2_Compound_100_uff_E=527.74_uff_E=527.64,-7.4,7.271,2.839
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-10.0,0.0,0.0
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-9.8,2.041,1.351
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-9.5,5.673,1.637
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-9.5,4.241,1.216
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-9.1,7.891,2.716
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-8.9,8.86,3.075
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-8.8,8.624,3.774
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-8.8,9.102,3.109
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-8.7,5.637,2.039
pre_1lf3_plasmepsin2_Compound_102_uff_E=897.32_uff_E=780.30,-8.7,0.0,0.0
pre_1lf3_plasmepsin2_Compound_102_uff_E=897.32_uff_E=780.30,-8.7,8.205,4.11
