Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_7bt5_lysRS_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-21,0,0
pre_7bt5_lysRS_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-17.1,0,0
pre_7bt5_lysRS_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-15.9,0,0
pre_7bt5_lysRS_Compound_197_uff_E=265.00_uff_E=264.90,-11.6,0,0
pre_7bt5_lysRS_Compound_139_uff_E=286.36_uff_E=286.05,-11.5,0,0
pre_7bt5_lysRS_Compound_382_uff_E=539.57_uff_E=510.25,-11.3,0,0
pre_7bt5_lysRS_Compound_51_uff_E=434.15_uff_E=434.06,-11.1,0,0
pre_7bt5_lysRS_Compound_386_uff_E=736.53_uff_E=685.51,-11.1,0,0
pre_7bt5_lysRS_Compound_250_uff_E=358.28_uff_E=357.60,-11.1,0,0
pre_7bt5_lysRS_Compound_130_uff_E=730.32_uff_E=730.00,-11.1,0,0
pre_7bt5_lysRS_Compound_150_uff_E=1347.46_uff_E=1347.26,-11,0,0
pre_7bt5_lysRS_Compound_249_uff_E=397.17_uff_E=382.39,-10.9,0,0
pre_7bt5_lysRS_Compound_164_uff_E=876.95_uff_E=875.70,-10.9,0,0
pre_7bt5_lysRS_Compound_380_uff_E=1639.65_uff_E=1608.74,-10.8,0,0
pre_7bt5_lysRS_Compound_354_uff_E=737.88_uff_E=683.70,-10.8,0,0
pre_7bt5_lysRS_Compound_321_uff_E=532.08_uff_E=456.48,-10.8,0,0
pre_7bt5_lysRS_obj01_uff_E=799.29_uff_E=798.74,-10.7,0,0
pre_7bt5_lysRS_Compound_75_uff_E=602.39_uff_E=578.78,-10.7,0,0
pre_7bt5_lysRS_Compound_56_uff_E=745.41_uff_E=745.31,-10.7,0,0
pre_7bt5_lysRS_Compound_26_uff_E=582.48_uff_E=569.13,-10.7,0,0
pre_7bt5_lysRS_Compound_74_uff_E=615.24_uff_E=615.14,-10.6,0,0
pre_7bt5_lysRS_Compound_69_uff_E=2036.42_uff_E=2034.73,-10.6,0,0
pre_7bt5_lysRS_Compound_62_uff_E=401.25_uff_E=376.74,-10.6,0,0
pre_7bt5_lysRS_Compound_328_uff_E=280.79_uff_E=271.15,-10.6,0,0
pre_7bt5_lysRS_Compound_267_uff_E=665.24_uff_E=565.24,-10.6,0,0
pre_7bt5_lysRS_Compound_42_uff_E=252.48_uff_E=252.39,-10.5,0,0
pre_7bt5_lysRS_Compound_53_uff_E=381.21_uff_E=380.35,-10.4,0,0
pre_7bt5_lysRS_Compound_40_uff_E=648.16_uff_E=647.94,-10.4,0,0
pre_7bt5_lysRS_Compound_183_uff_E=569.58_uff_E=541.82,-10.4,0,0
pre_7bt5_lysRS_Compound_158_uff_E=511.91_uff_E=490.38,-10.4,0,0
pre_7bt5_lysRS_Compound_140_uff_E=640.24_uff_E=640.15,-10.4,0,0
pre_7bt5_lysRS_Compound_92_uff_E=752.19_uff_E=743.24,-10.3,0,0
pre_7bt5_lysRS_Compound_27_uff_E=513.73_uff_E=510.51,-10.3,0,0
pre_7bt5_lysRS_Compound_23_uff_E=475.07_uff_E=474.97,-10.3,0,0
pre_7bt5_lysRS_Compound_227_uff_E=254.18_uff_E=240.72,-10.3,0,0
pre_7bt5_lysRS_Compound_205_uff_E=588.81_uff_E=588.72,-10.3,0,0
pre_7bt5_lysRS_Compound_190_uff_E=589.53_uff_E=516.41,-10.3,0,0
pre_7bt5_lysRS_Compound_97_uff_E=397.94_uff_E=272.03,-10.2,0,0
pre_7bt5_lysRS_Compound_83_uff_E=426.01_uff_E=387.66,-10.2,0,0
pre_7bt5_lysRS_Compound_353_uff_E=479.22_uff_E=457.90,-10.2,0,0
pre_7bt5_lysRS_Compound_304_uff_E=370.96_uff_E=349.00,-10.2,0,0
pre_7bt5_lysRS_Compound_294_uff_E=623.17_uff_E=592.73,-10.2,0,0
pre_7bt5_lysRS_Compound_292_uff_E=429.36_uff_E=428.95,-10.2,0,0
pre_7bt5_lysRS_Compound_220_uff_E=1144.93_uff_E=1027.92,-10.2,0,0
pre_7bt5_lysRS_Compound_106_uff_E=783.28_uff_E=708.93,-10.2,0,0
pre_7bt5_lysRS_Compound_35_uff_E=269.58_uff_E=269.48,-10.1,0,0
pre_7bt5_lysRS_Compound_303_uff_E=571.28_uff_E=571.21,-10.1,0,0
pre_7bt5_lysRS_Compound_194_uff_E=466.90_uff_E=450.84,-10.1,0,0
pre_7bt5_lysRS_Compound_170_uff_E=499.67_uff_E=456.84,-10.1,0,0
pre_7bt5_lysRS_Compound_374_uff_E=350.84_uff_E=299.51,-10,0,0
pre_7bt5_lysRS_Compound_372_uff_E=804.57_uff_E=677.90,-10,0,0
pre_7bt5_lysRS_Compound_313_uff_E=514.15_uff_E=514.07,-10,0,0
pre_7bt5_lysRS_Compound_241_uff_E=819.56_uff_E=819.35,-10,0,0
pre_7bt5_lysRS_Compound_22_uff_E=370.53_uff_E=370.46,-10,0,0
pre_7bt5_lysRS_Compound_2_uff_E=932.54_uff_E=932.48,-10,0,0
pre_7bt5_lysRS_Compound_151_uff_E=808.24_uff_E=808.23,-10,0,0
pre_7bt5_lysRS_Compound_99_uff_E=471.81_uff_E=471.39,-9.9,0,0
pre_7bt5_lysRS_Compound_7_uff_E=562.49_uff_E=553.12,-9.9,0,0
pre_7bt5_lysRS_Compound_4_uff_E=1557.68_uff_E=1442.13,-9.9,0,0
pre_7bt5_lysRS_Compound_390_uff_E=641.37_uff_E=570.90,-9.9,0,0
pre_7bt5_lysRS_Compound_255_uff_E=312.61_uff_E=312.52,-9.9,0,0
pre_7bt5_lysRS_Compound_248_uff_E=423.56_uff_E=423.32,-9.9,0,0
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.9,0,0
pre_7bt5_lysRS_Compound_89_uff_E=353.24_uff_E=331.78,-9.8,0,0
pre_7bt5_lysRS_Compound_67_uff_E=325.95_uff_E=325.72,-9.8,0,0
pre_7bt5_lysRS_Compound_5_uff_E=645.33_uff_E=567.58,-9.8,0,0
pre_7bt5_lysRS_Compound_46_uff_E=924.43_uff_E=805.09,-9.8,0,0
pre_7bt5_lysRS_Compound_346_uff_E=1551.35_uff_E=1545.02,-9.8,0,0
pre_7bt5_lysRS_Compound_336_uff_E=485.25_uff_E=479.79,-9.8,0,0
pre_7bt5_lysRS_Compound_281_uff_E=927.81_uff_E=869.17,-9.8,0,0
pre_7bt5_lysRS_Compound_116_uff_E=963.32_uff_E=963.22,-9.8,0,0
pre_7bt5_lysRS_Compound_377_uff_E=1372.30_uff_E=879.26,-9.7,0,0
pre_7bt5_lysRS_Compound_365_uff_E=503.30_uff_E=491.21,-9.7,0,0
pre_7bt5_lysRS_Compound_275_uff_E=1064.01_uff_E=1063.92,-9.7,0,0
pre_7bt5_lysRS_Compound_265_uff_E=616.89_uff_E=612.96,-9.7,0,0
pre_7bt5_lysRS_Compound_230_uff_E=665.84_uff_E=650.05,-9.7,0,0
pre_7bt5_lysRS_Compound_223_uff_E=182.78_uff_E=182.71,-9.7,0,0
pre_7bt5_lysRS_Compound_212_uff_E=295.26_uff_E=295.17,-9.7,0,0
pre_7bt5_lysRS_Compound_148_uff_E=159.01_uff_E=158.81,-9.7,0,0
pre_7bt5_lysRS_Compound_78_uff_E=325.77_uff_E=325.67,-9.6,0,0
pre_7bt5_lysRS_Compound_385_uff_E=492.68_uff_E=492.36,-9.6,0,0
pre_7bt5_lysRS_Compound_36_uff_E=740.55_uff_E=740.35,-9.6,0,0
pre_7bt5_lysRS_Compound_359_uff_E=369.43_uff_E=326.00,-9.6,0,0
pre_7bt5_lysRS_Compound_342_uff_E=641.82_uff_E=641.73,-9.6,0,0
pre_7bt5_lysRS_Compound_338_uff_E=713.29_uff_E=712.96,-9.6,0,0
pre_7bt5_lysRS_Compound_318_uff_E=630.93_uff_E=620.29,-9.6,0,0
pre_7bt5_lysRS_Compound_278_uff_E=596.47_uff_E=544.70,-9.6,0,0
pre_7bt5_lysRS_Compound_208_uff_E=642.04_uff_E=637.39,-9.6,0,0
pre_7bt5_lysRS_Compound_207_uff_E=869.12_uff_E=789.60,-9.6,0,0
pre_7bt5_lysRS_Compound_191_uff_E=380.53_uff_E=380.43,-9.6,0,0
pre_7bt5_lysRS_Compound_185_uff_E=777.77_uff_E=777.69,-9.6,0,0
pre_7bt5_lysRS_Compound_13_uff_E=540.33_uff_E=536.08,-9.6,0,0
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-9.6,0,0
