Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1lf3_plasmepsin2_Compound_116_uff_E=963.32_uff_E=963.22,-9,0,0
pre_1lf3_plasmepsin2_Compound_130_uff_E=730.32_uff_E=730.00,-9,0,0
pre_1lf3_plasmepsin2_Compound_138_uff_E=647.19_uff_E=632.98,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_139_uff_E=286.36_uff_E=286.05,-9.6,0,0
pre_1lf3_plasmepsin2_Compound_140_uff_E=640.24_uff_E=640.15,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_157_uff_E=383.82_uff_E=383.72,-9,0,0
pre_1lf3_plasmepsin2_Compound_183_uff_E=569.58_uff_E=541.82,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_183_uff_E=569.58_uff_E=541.82,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_194_uff_E=466.90_uff_E=450.84,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_194_uff_E=466.90_uff_E=450.84,-8.9,0,0
pre_1lf3_plasmepsin2_Compound_197_uff_E=265.00_uff_E=264.90,-9.7,0,0
pre_1lf3_plasmepsin2_Compound_208_uff_E=642.04_uff_E=637.39,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_209_uff_E=445.06_uff_E=444.96,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_22_uff_E=370.53_uff_E=370.46,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_220_uff_E=1144.93_uff_E=1027.92,-9.4,0,0
pre_1lf3_plasmepsin2_Compound_227_uff_E=254.18_uff_E=240.72,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_240_uff_E=443.94_uff_E=443.84,-9,0,0
pre_1lf3_plasmepsin2_Compound_241_uff_E=819.56_uff_E=819.35,-9,0,0
pre_1lf3_plasmepsin2_Compound_250_uff_E=358.28_uff_E=357.60,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_26_uff_E=582.48_uff_E=569.13,-9.6,0,0
pre_1lf3_plasmepsin2_Compound_265_uff_E=616.89_uff_E=612.96,-10.5,0,0
pre_1lf3_plasmepsin2_Compound_27_uff_E=513.73_uff_E=510.51,-9,0,0
pre_1lf3_plasmepsin2_Compound_278_uff_E=596.47_uff_E=544.70,-9.7,0,0
pre_1lf3_plasmepsin2_Compound_280_uff_E=599.04_uff_E=598.95,-8.9,0,0
pre_1lf3_plasmepsin2_Compound_295_uff_E=727.94_uff_E=664.46,-9,0,0
pre_1lf3_plasmepsin2_Compound_309_uff_E=586.28_uff_E=584.74,-8.9,0,0
pre_1lf3_plasmepsin2_Compound_317_uff_E=906.27_uff_E=904.19,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_321_uff_E=532.08_uff_E=456.48,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_347_uff_E=561.14_uff_E=560.69,-9.8,0,0
pre_1lf3_plasmepsin2_Compound_348_uff_E=1383.67_uff_E=439.80,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-12.6,0,0
pre_1lf3_plasmepsin2_Compound_353_uff_E=479.22_uff_E=457.90,-9.6,0,0
pre_1lf3_plasmepsin2_Compound_354_uff_E=737.88_uff_E=683.70,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_359_uff_E=369.43_uff_E=326.00,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_369_uff_E=536.27_uff_E=509.29,-9.5,0,0
pre_1lf3_plasmepsin2_Compound_372_uff_E=804.57_uff_E=677.90,-8.9,0,0
pre_1lf3_plasmepsin2_Compound_377_uff_E=1372.30_uff_E=879.26,-9.8,0,0
pre_1lf3_plasmepsin2_Compound_382_uff_E=539.57_uff_E=510.25,-10.4,0,0
pre_1lf3_plasmepsin2_Compound_384_uff_E=741.77_uff_E=741.55,-9,0,0
pre_1lf3_plasmepsin2_Compound_386_uff_E=736.53_uff_E=685.51,-9.6,0,0
pre_1lf3_plasmepsin2_Compound_389_uff_E=406.60_uff_E=406.25,-9,0,0
pre_1lf3_plasmepsin2_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-12.9,0,0
pre_1lf3_plasmepsin2_Compound_4_uff_E=1557.68_uff_E=1442.13,-9.4,0,0
pre_1lf3_plasmepsin2_Compound_40_uff_E=648.16_uff_E=647.94,-9,0,0
pre_1lf3_plasmepsin2_Compound_46_uff_E=924.43_uff_E=805.09,-10,0,0
pre_1lf3_plasmepsin2_Compound_47_uff_E=362.87_uff_E=361.92,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_51_uff_E=434.15_uff_E=434.06,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_56_uff_E=745.41_uff_E=745.31,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_66_uff_E=433.80_uff_E=431.26,-9,0,0
pre_1lf3_plasmepsin2_Compound_7_uff_E=562.49_uff_E=553.12,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-16.7,0,0
pre_1lf3_plasmepsin2_Compound_74_uff_E=615.24_uff_E=615.14,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_83_uff_E=426.01_uff_E=387.66,-8.9,0,0
pre_1lf3_plasmepsin2_Compound_97_uff_E=397.94_uff_E=272.03,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_99_uff_E=471.81_uff_E=471.39,-9.1,0,0
pre_1lf3_plasmepsin2_obj01_uff_E=1170.44,-9.2,0,0
