Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1q4j_PfGST1_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-17.9,0,0
pre_1q4j_PfGST1_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-14.6,0,0
pre_1q4j_PfGST1_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-13.7,0,0
pre_1q4j_PfGST1_Compound_348_uff_E=1383.67_uff_E=439.80,-10.6,0,0
pre_1q4j_PfGST1_Compound_359_uff_E=369.43_uff_E=326.00,-10.5,0,0
pre_1q4j_PfGST1_Compound_92_uff_E=752.19_uff_E=743.24,-10.5,0,0
pre_1q4j_PfGST1_Compound_75_uff_E=602.39_uff_E=578.78,-10.4,0,0
pre_1q4j_PfGST1_Compound_130_uff_E=730.32_uff_E=730.00,-10.2,0,0
pre_1q4j_PfGST1_Compound_382_uff_E=539.57_uff_E=510.25,-10.2,0,0
pre_1q4j_PfGST1_Compound_164_uff_E=876.95_uff_E=875.70,-10,0,0
pre_1q4j_PfGST1_Compound_139_uff_E=286.36_uff_E=286.05,-9.9,0,0
pre_1q4j_PfGST1_Compound_5_uff_E=645.33_uff_E=567.58,-9.9,0,0
pre_1q4j_PfGST1_Compound_7_uff_E=562.49_uff_E=553.12,-9.9,0,0
pre_1q4j_PfGST1_Compound_183_uff_E=569.58_uff_E=541.82,-9.8,0,0
pre_1q4j_PfGST1_Compound_26_uff_E=582.48_uff_E=569.13,-9.8,0,0
pre_1q4j_PfGST1_Compound_354_uff_E=737.88_uff_E=683.70,-9.8,0,0
pre_1q4j_PfGST1_Compound_68_uff_E=445.54_uff_E=445.34,-9.8,0,0
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,0,0
pre_1q4j_PfGST1_Compound_194_uff_E=466.90_uff_E=450.84,-9.7,0,0
pre_1q4j_PfGST1_Compound_220_uff_E=1144.93_uff_E=1027.92,-9.7,0,0
pre_1q4j_PfGST1_Compound_40_uff_E=648.16_uff_E=647.94,-9.7,0,0
pre_1q4j_PfGST1_Compound_46_uff_E=924.43_uff_E=805.09,-9.7,0,0
pre_1q4j_PfGST1_Compound_62_uff_E=401.25_uff_E=376.74,-9.7,0,0
pre_1q4j_PfGST1_Compound_150_uff_E=1347.46_uff_E=1347.26,-9.6,0,0
pre_1q4j_PfGST1_Compound_178_uff_E=503.74_uff_E=503.64,-9.6,0,0
pre_1q4j_PfGST1_Compound_386_uff_E=736.53_uff_E=685.51,-9.6,0,0
pre_1q4j_PfGST1_Compound_51_uff_E=434.15_uff_E=434.06,-9.6,0,0
pre_1q4j_PfGST1_Compound_140_uff_E=640.24_uff_E=640.15,-9.5,0,0
pre_1q4j_PfGST1_Compound_209_uff_E=445.06_uff_E=444.96,-9.5,0,0
pre_1q4j_PfGST1_Compound_353_uff_E=479.22_uff_E=457.90,-9.5,0,0
pre_1q4j_PfGST1_Compound_36_uff_E=740.55_uff_E=740.35,-9.5,0,0
pre_1q4j_PfGST1_Compound_146_uff_E=233.09_uff_E=233.01,-9.4,0,0
pre_1q4j_PfGST1_Compound_157_uff_E=383.82_uff_E=383.72,-9.4,0,0
pre_1q4j_PfGST1_Compound_262_uff_E=639.72_uff_E=639.62,-9.4,0,0
pre_1q4j_PfGST1_Compound_116_uff_E=963.32_uff_E=963.22,-9.3,0,0
pre_1q4j_PfGST1_Compound_148_uff_E=159.01_uff_E=158.81,-9.3,0,0
pre_1q4j_PfGST1_Compound_228_uff_E=772.80_uff_E=772.70,-9.3,0,0
pre_1q4j_PfGST1_Compound_249_uff_E=397.17_uff_E=382.39,-9.3,0,0
pre_1q4j_PfGST1_Compound_250_uff_E=358.28_uff_E=357.60,-9.3,0,0
pre_1q4j_PfGST1_Compound_265_uff_E=616.89_uff_E=612.96,-9.3,0,0
pre_1q4j_PfGST1_Compound_304_uff_E=370.96_uff_E=349.00,-9.3,0,0
pre_1q4j_PfGST1_Compound_374_uff_E=350.84_uff_E=299.51,-9.3,0,0
pre_1q4j_PfGST1_Compound_376_uff_E=999.75_uff_E=865.08,-9.3,0,0
pre_1q4j_PfGST1_Compound_170_uff_E=499.67_uff_E=456.84,-9.2,0,0
pre_1q4j_PfGST1_Compound_197_uff_E=265.00_uff_E=264.90,-9.2,0,0
pre_1q4j_PfGST1_Compound_241_uff_E=819.56_uff_E=819.35,-9.2,0,0
pre_1q4j_PfGST1_Compound_295_uff_E=727.94_uff_E=664.46,-9.2,0,0
pre_1q4j_PfGST1_Compound_352_uff_E=574.49_uff_E=574.27,-9.2,0,0
pre_1q4j_PfGST1_Compound_4_uff_E=1557.68_uff_E=1442.13,-9.2,0,0
pre_1q4j_PfGST1_Compound_56_uff_E=745.41_uff_E=745.31,-9.2,0,0
pre_1q4j_PfGST1_Compound_336_uff_E=485.25_uff_E=479.79,-9.1,0,0
pre_1q4j_PfGST1_Compound_342_uff_E=641.82_uff_E=641.73,-9.1,0,0
pre_1q4j_PfGST1_Compound_365_uff_E=503.30_uff_E=491.21,-9.1,0,0
pre_1q4j_PfGST1_Compound_74_uff_E=615.24_uff_E=615.14,-9.1,0,0
pre_1q4j_PfGST1_Compound_186_uff_E=389.76_uff_E=389.67,-9,0,0
pre_1q4j_PfGST1_Compound_196_uff_E=352.64_uff_E=350.98,-9,0,0
pre_1q4j_PfGST1_Compound_208_uff_E=642.04_uff_E=637.39,-9,0,0
pre_1q4j_PfGST1_Compound_227_uff_E=254.18_uff_E=240.72,-9,0,0
pre_1q4j_PfGST1_Compound_267_uff_E=665.24_uff_E=565.24,-9,0,0
pre_1q4j_PfGST1_Compound_275_uff_E=1064.01_uff_E=1063.92,-9,0,0
pre_1q4j_PfGST1_Compound_71_uff_E=308.66_uff_E=308.45,-9,0,0
pre_1q4j_PfGST1_Compound_81_uff_E=241.23_uff_E=241.14,-9,0,0
pre_1q4j_PfGST1_Compound_91_uff_E=210.74_uff_E=210.37,-9,0,0
pre_1q4j_PfGST1_Compound_127_uff_E=352.93_uff_E=352.73,-8.9,0,0
pre_1q4j_PfGST1_Compound_141_uff_E=915.22_uff_E=915.12,-8.9,0,0
pre_1q4j_PfGST1_Compound_188_uff_E=226.16_uff_E=226.07,-8.9,0,0
pre_1q4j_PfGST1_Compound_191_uff_E=380.53_uff_E=380.43,-8.9,0,0
pre_1q4j_PfGST1_Compound_27_uff_E=513.73_uff_E=510.51,-8.9,0,0
pre_1q4j_PfGST1_Compound_292_uff_E=429.36_uff_E=428.95,-8.9,0,0
pre_1q4j_PfGST1_Compound_339_uff_E=1547.75_uff_E=1510.80,-8.9,0,0
pre_1q4j_PfGST1_Compound_346_uff_E=1551.35_uff_E=1545.02,-8.9,0,0
pre_1q4j_PfGST1_Compound_379_uff_E=1283.77_uff_E=1283.17,-8.9,0,0
pre_1q4j_PfGST1_Compound_110_uff_E=544.19_uff_E=544.10,-8.8,0,0
pre_1q4j_PfGST1_Compound_22_uff_E=370.53_uff_E=370.46,-8.8,0,0
pre_1q4j_PfGST1_Compound_251_uff_E=273.33_uff_E=232.95,-8.8,0,0
pre_1q4j_PfGST1_Compound_252_uff_E=299.67_uff_E=299.57,-8.8,0,0
pre_1q4j_PfGST1_Compound_286_uff_E=386.68_uff_E=385.49,-8.8,0,0
pre_1q4j_PfGST1_Compound_309_uff_E=586.28_uff_E=584.74,-8.8,0,0
pre_1q4j_PfGST1_Compound_89_uff_E=353.24_uff_E=331.78,-8.8,0,0
pre_1q4j_PfGST1_Compound_93_uff_E=559.07_uff_E=559.02,-8.8,0,0
pre_1q4j_PfGST1_Compound_97_uff_E=397.94_uff_E=272.03,-8.8,0,0
pre_1q4j_PfGST1_Compound_115_uff_E=213.72_uff_E=213.63,-8.7,0,0
pre_1q4j_PfGST1_Compound_136_uff_E=243.12_uff_E=228.76,-8.7,0,0
pre_1q4j_PfGST1_Compound_137_uff_E=1496.87_uff_E=1433.43,-8.7,0,0
pre_1q4j_PfGST1_Compound_177_uff_E=233.48_uff_E=233.39,-8.7,0,0
pre_1q4j_PfGST1_Compound_231_uff_E=215.18_uff_E=215.11,-8.7,0,0
pre_1q4j_PfGST1_Compound_278_uff_E=596.47_uff_E=544.70,-8.7,0,0
pre_1q4j_PfGST1_Compound_313_uff_E=514.15_uff_E=514.07,-8.7,0,0
pre_1q4j_PfGST1_Compound_320_uff_E=376.84_uff_E=370.47,-8.7,0,0
pre_1q4j_PfGST1_Compound_321_uff_E=532.08_uff_E=456.48,-8.7,0,0
pre_1q4j_PfGST1_Compound_344_uff_E=189.36_uff_E=189.15,-8.7,0,0
pre_1q4j_PfGST1_Compound_369_uff_E=536.27_uff_E=509.29,-8.7,0,0
