Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1q4j_PfGST1_Compound_347_uff_E=606.46_uff_E=606.37,-10.7,0,0
pre_1q4j_PfGST1_Compound_264_uff_E=1071.71_uff_E=1060.96,-10.6,0,0
pre_1q4j_PfGST1_Compound_98_uff_E=852.38_uff_E=830.33,-10.3,0,0
pre_1q4j_PfGST1_Compound_343_uff_E=352.95_uff_E=352.85,-10.3,0,0
pre_1q4j_PfGST1_Compound_182_uff_E=694.16_uff_E=693.51,-10.1,0,0
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-10.1,0,0
pre_1q4j_PfGST1_Compound_75_uff_E=393.43_uff_E=393.24,-10,0,0
pre_1q4j_PfGST1_Compound_359_uff_E=2631.83_uff_E=2631.74,-10,0,0
pre_1q4j_PfGST1_Compound_137_uff_E=493.78_uff_E=489.60,-10,0,0
pre_1q4j_PfGST1_Compound_307_uff_E=524.16_uff_E=504.96,-9.9,0,0
pre_1q4j_PfGST1_Compound_205_uff_E=569.58_uff_E=541.82,-9.8,0,0
pre_1q4j_PfGST1_Compound_66_uff_E=735.86_uff_E=735.66,-9.7,0,0
pre_1q4j_PfGST1_Compound_346_uff_E=485.94_uff_E=485.84,-9.7,0,0
pre_1q4j_PfGST1_Compound_256_uff_E=1958.03_uff_E=1957.96,-9.7,0,0
pre_1q4j_PfGST1_Compound_369_uff_E=636.18_uff_E=606.05,-9.6,0,0
pre_1q4j_PfGST1_Compound_275_uff_E=356.27_uff_E=356.17,-9.6,0,0
pre_1q4j_PfGST1_Compound_187_uff_E=512.52_uff_E=497.57,-9.6,0,0
pre_1q4j_PfGST1_Compound_289_uff_E=477.43_uff_E=458.55,-9.5,0,0
pre_1q4j_PfGST1_Compound_204_uff_E=363.23_uff_E=356.40,-9.5,0,0
pre_1q4j_PfGST1_Compound_188_uff_E=554.61_uff_E=551.00,-9.5,0,0
pre_1q4j_PfGST1_Compound_48_uff_E=498.12_uff_E=497.90,-9.4,0,0
pre_1q4j_PfGST1_Compound_396_uff_E=353.88_uff_E=351.46,-9.4,0,0
pre_1q4j_PfGST1_Compound_247_uff_E=449.77_uff_E=449.73,-9.4,0,0
pre_1q4j_PfGST1_Compound_215_uff_E=744.92_uff_E=686.16,-9.4,0,0
pre_1q4j_PfGST1_Compound_202_uff_E=541.51_uff_E=477.57,-9.4,0,0
pre_1q4j_PfGST1_Compound_51_uff_E=749.26_uff_E=748.24,-9.3,0,0
pre_1q4j_PfGST1_Compound_32_uff_E=1473.42_uff_E=1468.49,-9.3,0,0
pre_1q4j_PfGST1_Compound_258_uff_E=850.39_uff_E=850.30,-9.3,0,0
pre_1q4j_PfGST1_Compound_167_uff_E=612.22_uff_E=521.33,-9.3,0,0
pre_1q4j_PfGST1_Compound_13_uff_E=430.12_uff_E=429.58,-9.3,0,0
pre_1q4j_PfGST1_Compound_96_uff_E=298.45_uff_E=298.35,-9.2,0,0
pre_1q4j_PfGST1_Compound_357_uff_E=946.90_uff_E=831.92,-9.2,0,0
pre_1q4j_PfGST1_Compound_340_uff_E=1817.48_uff_E=1817.48,-9.2,0,0
pre_1q4j_PfGST1_Compound_279_uff_E=1114.29_uff_E=1008.29,-9.2,0,0
pre_1q4j_PfGST1_Compound_270_uff_E=729.48_uff_E=729.28,-9.2,0,0
pre_1q4j_PfGST1_Compound_259_uff_E=491.68_uff_E=464.66,-9.2,0,0
pre_1q4j_PfGST1_Compound_217_uff_E=1906.07_uff_E=1905.87,-9.2,0,0
pre_1q4j_PfGST1_Compound_194_uff_E=434.52_uff_E=434.47,-9.2,0,0
pre_1q4j_PfGST1_Compound_173_uff_E=825.59_uff_E=761.76,-9.2,0,0
pre_1q4j_PfGST1_Compound_130_uff_E=321.24_uff_E=321.17,-9.2,0,0
pre_1q4j_PfGST1_Compound_344_uff_E=550.02_uff_E=549.78,-9.1,0,0
pre_1q4j_PfGST1_Compound_3_uff_E=452.14_uff_E=451.93,-9.1,0,0
pre_1q4j_PfGST1_Compound_269_uff_E=221.92_uff_E=211.09,-9.1,0,0
pre_1q4j_PfGST1_Compound_245_uff_E=435.43_uff_E=428.07,-9.1,0,0
pre_1q4j_PfGST1_Compound_232_uff_E=544.89_uff_E=544.25,-9.1,0,0
pre_1q4j_PfGST1_Compound_197_uff_E=355.96_uff_E=355.54,-9.1,0,0
pre_1q4j_PfGST1_Compound_155_uff_E=819.29_uff_E=811.51,-9.1,0,0
pre_1q4j_PfGST1_Compound_151_uff_E=1477.81_uff_E=1468.23,-9.1,0,0
