Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_3k60_pfhsp90_Compound_117_uff_E=582.86_uff_E=581.02,-8.5,0,0
pre_3k60_pfhsp90_Compound_340_uff_E=1817.48_uff_E=1817.48,-8.4,0,0
pre_3k60_pfhsp90_Compound_334_uff_E=630.98_uff_E=575.80,-8.4,0,0
pre_3k60_pfhsp90_Compound_279_uff_E=1114.29_uff_E=1008.29,-8.4,0,0
pre_3k60_pfhsp90_Compound_264_uff_E=1071.71_uff_E=1060.96,-8.4,0,0
pre_3k60_pfhsp90_Compound_21_uff_E=624.18_uff_E=573.70,-8.4,0,0
pre_3k60_pfhsp90_Compound_81_uff_E=550.09_uff_E=532.94,-8.3,0,0
pre_3k60_pfhsp90_Compound_61_uff_E=1136.85_uff_E=1134.13,-8.2,0,0
pre_3k60_pfhsp90_Compound_48_uff_E=498.12_uff_E=497.90,-8.2,0,0
pre_3k60_pfhsp90_Compound_197_uff_E=355.96_uff_E=355.54,-8.2,0,0
pre_3k60_pfhsp90_Compound_178_uff_E=498.91_uff_E=454.62,-8.2,0,0
pre_3k60_pfhsp90_Compound_307_uff_E=524.16_uff_E=504.96,-8.1,0,0
pre_3k60_pfhsp90_Compound_256_uff_E=1958.03_uff_E=1957.96,-8.1,0,0
pre_3k60_pfhsp90_Compound_207_uff_E=365.32_uff_E=328.39,-8.1,0,0
pre_3k60_pfhsp90_Compound_132_uff_E=1000.18_uff_E=961.31,-8.1,0,0
pre_3k60_pfhsp90_Compound_86_uff_E=703.24_uff_E=703.02,-8,0,0
pre_3k60_pfhsp90_Compound_359_uff_E=2631.83_uff_E=2631.74,-8,0,0
pre_3k60_pfhsp90_Compound_270_uff_E=729.48_uff_E=729.28,-8,0,0
pre_3k60_pfhsp90_Compound_155_uff_E=819.29_uff_E=811.51,-8,0,0
pre_3k60_pfhsp90_Compound_66_uff_E=735.86_uff_E=735.66,-7.9,0,0
pre_3k60_pfhsp90_Compound_50_uff_E=564.54_uff_E=564.34,-7.9,0,0
pre_3k60_pfhsp90_Compound_269_uff_E=221.92_uff_E=211.09,-7.9,0,0
pre_3k60_pfhsp90_Compound_72_uff_E=1153.93_uff_E=1146.63,-7.8,0,0
pre_3k60_pfhsp90_Compound_376_uff_E=510.50_uff_E=510.41,-7.8,0,0
pre_3k60_pfhsp90_Compound_312_uff_E=497.75_uff_E=497.66,-7.8,0,0
pre_3k60_pfhsp90_Compound_275_uff_E=356.27_uff_E=356.17,-7.8,0,0
pre_3k60_pfhsp90_Compound_205_uff_E=569.58_uff_E=541.82,-7.8,0,0
pre_3k60_pfhsp90_Compound_174_uff_E=604.48_uff_E=604.16,-7.8,0,0
pre_3k60_pfhsp90_Compound_388_uff_E=549.87_uff_E=542.70,-7.7,0,0
pre_3k60_pfhsp90_Compound_357_uff_E=946.90_uff_E=831.92,-7.7,0,0
pre_3k60_pfhsp90_Compound_344_uff_E=550.02_uff_E=549.78,-7.7,0,0
pre_3k60_pfhsp90_Compound_316_uff_E=465.65_uff_E=465.41,-7.7,0,0
pre_3k60_pfhsp90_Compound_298_uff_E=809.33_uff_E=797.20,-7.7,0,0
pre_3k60_pfhsp90_Compound_291_uff_E=593.08_uff_E=585.99,-7.7,0,0
pre_3k60_pfhsp90_Compound_218_uff_E=678.47_uff_E=640.56,-7.7,0,0
pre_3k60_pfhsp90_Compound_121_uff_E=662.31_uff_E=621.24,-7.7,0,0
pre_3k60_pfhsp90_Compound_89_uff_E=447.63_uff_E=419.80,-7.6,0,0
