Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_37_uff_E=184.80_uff_E=183.67,-9.2,0,0
pre_6dsr_ompdc_Compound_127_uff_E=422.69_uff_E=422.59,-8.2,0,0
pre_6dsr_ompdc_Compound_378_uff_E=181.94_uff_E=181.84,-8,0,0
pre_6dsr_ompdc_Compound_281_uff_E=374.36_uff_E=374.28,-7.9,0,0
pre_6dsr_ompdc_Compound_91_uff_E=372.63_uff_E=372.41,-7.8,0,0
pre_6dsr_ompdc_Compound_339_uff_E=319.62_uff_E=319.42,-7.7,0,0
pre_6dsr_ompdc_Compound_366_uff_E=350.08_uff_E=350.01,-7.6,0,0
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.6,0,0
pre_6dsr_ompdc_Compound_316_uff_E=465.65_uff_E=465.41,-7.5,0,0
pre_6dsr_ompdc_obj01_uff_E=470.60_uff_E=470.38,-7.4,0,0
pre_6dsr_ompdc_Compound_43_uff_E=512.38_uff_E=512.31,-7.4,0,0
pre_6dsr_ompdc_Compound_398_uff_E=359.15_uff_E=359.06,-7.4,0,0
pre_6dsr_ompdc_Compound_389_uff_E=365.05_uff_E=364.86,-7.4,0,0
pre_6dsr_ompdc_Compound_377_uff_E=680.56_uff_E=680.47,-7.4,0,0
pre_6dsr_ompdc_Compound_57_uff_E=519.82_uff_E=519.73,-7.3,0,0
pre_6dsr_ompdc_Compound_360_uff_E=454.69_uff_E=454.49,-7.3,0,0
pre_6dsr_ompdc_Compound_53_uff_E=1816.01_uff_E=1815.91,-7.1,0,0
pre_6dsr_ompdc_Compound_22_uff_E=410.99_uff_E=410.90,-7.1,0,0
pre_6dsr_ompdc_Compound_349_uff_E=191.19_uff_E=191.11,-7,0,0
pre_6dsr_ompdc_Compound_166_uff_E=713.99_uff_E=713.89,-7,0,0
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-7,0,0
pre_6dsr_ompdc_Compound_75_uff_E=393.43_uff_E=393.24,-6.9,0,0
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.3,2.164,1.683
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.7,2.165,1.627
pre_6dsr_ompdc_Compound_349_uff_E=191.19_uff_E=191.11,-6.9,2.206,0.766
pre_6dsr_ompdc_Compound_366_uff_E=350.08_uff_E=350.01,-7.1,2.229,1.871
pre_6dsr_ompdc_Compound_316_uff_E=465.65_uff_E=465.41,-6.9,2.355,0.578
pre_6dsr_ompdc_Compound_360_uff_E=454.69_uff_E=454.49,-7.3,2.366,1.176
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.3,2.705,1.832
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.5,2.757,1.548
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.8,2.996,1.734
