Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6m20_pfHt1_Compound_112_uff_E=4617.65_uff_E=3627.25,-9.2,0,0
pre_6m20_pfHt1_Compound_270_uff_E=729.48_uff_E=729.28,-8.8,0,0
pre_6m20_pfHt1_Compound_86_uff_E=703.24_uff_E=703.02,-8.7,0,0
pre_6m20_pfHt1_Compound_325_uff_E=1167.54_uff_E=1079.46,-8.7,0,0
pre_6m20_pfHt1_Compound_139_uff_E=727.50_uff_E=727.41,-8.7,0,0
pre_6m20_pfHt1_Compound_98_uff_E=852.38_uff_E=830.33,-8.5,0,0
pre_6m20_pfHt1_Compound_347_uff_E=606.46_uff_E=606.37,-8.5,0,0
pre_6m20_pfHt1_Compound_298_uff_E=809.33_uff_E=797.20,-8.5,0,0
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-8.4,0,0
pre_6m20_pfHt1_Compound_174_uff_E=604.48_uff_E=604.16,-8.3,0,0
pre_6m20_pfHt1_Compound_160_uff_E=424.11_uff_E=410.87,-8.3,0,0
pre_6m20_pfHt1_Compound_119_uff_E=560.05_uff_E=559.96,-8.3,0,0
pre_6m20_pfHt1_Compound_71_uff_E=832.61_uff_E=832.41,-8.2,0,0
pre_6m20_pfHt1_Compound_116_uff_E=202.15_uff_E=199.11,-8.2,0,0
pre_6m20_pfHt1_Compound_388_uff_E=549.87_uff_E=542.70,-8.1,0,0
pre_6m20_pfHt1_Compound_376_uff_E=510.50_uff_E=510.41,-8.1,0,0
pre_6m20_pfHt1_Compound_307_uff_E=524.16_uff_E=504.96,-8.1,0,0
pre_6m20_pfHt1_Compound_291_uff_E=593.08_uff_E=585.99,-8.1,0,0
pre_6m20_pfHt1_Compound_279_uff_E=1114.29_uff_E=1008.29,-8.1,0,0
pre_6m20_pfHt1_Compound_276_uff_E=620.96_uff_E=605.34,-8.1,0,0
pre_6m20_pfHt1_Compound_220_uff_E=1131.09_uff_E=778.74,-8.1,0,0
pre_6m20_pfHt1_Compound_52_uff_E=489.81_uff_E=489.72,-8,0,0
pre_6m20_pfHt1_Compound_51_uff_E=749.26_uff_E=748.24,-8,0,0
pre_6m20_pfHt1_Compound_275_uff_E=356.27_uff_E=356.17,-8,0,0
pre_6m20_pfHt1_Compound_266_uff_E=1903.77_uff_E=1903.46,-8,0,0
pre_6m20_pfHt1_Compound_265_uff_E=458.19_uff_E=457.93,-8,0,0
