Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_7bt5_lysRS_Compound_294_uff_E=212.50_uff_E=212.03,-10.2,0,0
pre_7bt5_lysRS_Compound_226_uff_E=466.90_uff_E=450.84,-10.2,0,0
pre_7bt5_lysRS_Compound_154_uff_E=203.72_uff_E=202.56,-9.9,0,0
pre_7bt5_lysRS_Compound_373_uff_E=240.66_uff_E=240.58,-9.7,0,0
pre_7bt5_lysRS_Compound_343_uff_E=352.95_uff_E=352.85,-9.6,0,0
pre_7bt5_lysRS_Compound_256_uff_E=1958.03_uff_E=1957.96,-9.6,0,0
pre_7bt5_lysRS_Compound_243_uff_E=339.50_uff_E=339.44,-9.5,0,0
pre_7bt5_lysRS_Compound_178_uff_E=498.91_uff_E=454.62,-9.5,0,0
pre_7bt5_lysRS_Compound_75_uff_E=393.43_uff_E=393.24,-9.4,0,0
pre_7bt5_lysRS_Compound_359_uff_E=2631.83_uff_E=2631.74,-9.4,0,0
pre_7bt5_lysRS_Compound_315_uff_E=452.31_uff_E=452.08,-9.4,0,0
pre_7bt5_lysRS_Compound_184_uff_E=571.10_uff_E=571.00,-9.4,0,0
pre_7bt5_lysRS_Compound_173_uff_E=825.59_uff_E=761.76,-9.4,0,0
pre_7bt5_lysRS_Compound_329_uff_E=503.97_uff_E=503.76,-9.3,0,0
pre_7bt5_lysRS_Compound_388_uff_E=549.87_uff_E=542.70,-9.2,0,0
pre_7bt5_lysRS_Compound_387_uff_E=238.59_uff_E=238.49,-9.2,0,0
pre_7bt5_lysRS_Compound_328_uff_E=521.66_uff_E=514.67,-9.2,0,0
pre_7bt5_lysRS_Compound_139_uff_E=727.50_uff_E=727.41,-9.2,0,0
pre_7bt5_lysRS_Compound_137_uff_E=493.78_uff_E=489.60,-9.2,0,0
pre_7bt5_lysRS_Compound_121_uff_E=662.31_uff_E=621.24,-9.2,0,0
pre_7bt5_lysRS_Compound_29_uff_E=324.65_uff_E=324.44,-9.1,0,0
pre_7bt5_lysRS_Compound_201_uff_E=412.55_uff_E=412.45,-9.1,0,0
pre_7bt5_lysRS_Compound_13_uff_E=430.12_uff_E=429.58,-9.1,0,0
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-9.1,0,0
pre_7bt5_lysRS_Compound_64_uff_E=369.82_uff_E=369.72,-9,0,0
pre_7bt5_lysRS_Compound_50_uff_E=564.54_uff_E=564.34,-9,0,0
pre_7bt5_lysRS_Compound_352_uff_E=291.97_uff_E=255.81,-9,0,0
pre_7bt5_lysRS_Compound_351_uff_E=434.28_uff_E=434.08,-9,0,0
pre_7bt5_lysRS_Compound_242_uff_E=482.01_uff_E=445.70,-9,0,0
pre_7bt5_lysRS_Compound_194_uff_E=434.52_uff_E=434.47,-9,0,0
pre_7bt5_lysRS_Compound_131_uff_E=398.41_uff_E=354.34,-9,0,0
pre_7bt5_lysRS_Compound_127_uff_E=422.69_uff_E=422.59,-9,0,0
pre_7bt5_lysRS_Compound_96_uff_E=298.45_uff_E=298.35,-8.9,0,0
pre_7bt5_lysRS_Compound_70_uff_E=317.66_uff_E=313.79,-8.9,0,0
pre_7bt5_lysRS_Compound_364_uff_E=1214.43_uff_E=1214.10,-8.9,0,0
pre_7bt5_lysRS_Compound_350_uff_E=813.97_uff_E=813.19,-8.9,0,0
pre_7bt5_lysRS_Compound_292_uff_E=397.57_uff_E=397.47,-8.9,0,0
pre_7bt5_lysRS_Compound_284_uff_E=262.76_uff_E=255.28,-8.9,0,0
pre_7bt5_lysRS_Compound_263_uff_E=1266.81_uff_E=1244.62,-8.9,0,0
pre_7bt5_lysRS_Compound_230_uff_E=417.01_uff_E=416.92,-8.9,0,0
pre_7bt5_lysRS_Compound_228_uff_E=219.06_uff_E=218.84,-8.9,0,0
pre_7bt5_lysRS_Compound_163_uff_E=1287.50_uff_E=1287.31,-8.9,0,0
pre_7bt5_lysRS_Compound_379_uff_E=617.44_uff_E=617.34,-8.8,0,0
pre_7bt5_lysRS_Compound_374_uff_E=275.20_uff_E=275.10,-8.8,0,0
pre_7bt5_lysRS_Compound_346_uff_E=485.94_uff_E=485.84,-8.8,0,0
pre_7bt5_lysRS_Compound_33_uff_E=377.45_uff_E=377.35,-8.8,0,0
pre_7bt5_lysRS_Compound_285_uff_E=537.96_uff_E=537.87,-8.8,0,0
pre_7bt5_lysRS_Compound_269_uff_E=221.92_uff_E=211.09,-8.8,0,0
pre_7bt5_lysRS_Compound_238_uff_E=445.57_uff_E=445.25,-8.8,0,0
pre_7bt5_lysRS_Compound_219_uff_E=351.34_uff_E=351.25,-8.8,0,0
pre_7bt5_lysRS_Compound_138_uff_E=667.46_uff_E=665.51,-8.8,0,0
pre_7bt5_lysRS_Compound_68_uff_E=411.18_uff_E=411.10,-8.7,0,0
pre_7bt5_lysRS_Compound_51_uff_E=749.26_uff_E=748.24,-8.7,0,0
pre_7bt5_lysRS_Compound_376_uff_E=510.50_uff_E=510.41,-8.7,0,0
pre_7bt5_lysRS_Compound_360_uff_E=454.69_uff_E=454.49,-8.7,0,0
pre_7bt5_lysRS_Compound_330_uff_E=465.18_uff_E=464.98,-8.7,0,0
pre_7bt5_lysRS_Compound_316_uff_E=465.65_uff_E=465.41,-8.7,0,0
pre_7bt5_lysRS_Compound_271_uff_E=275.20_uff_E=275.10,-8.7,0,0
pre_7bt5_lysRS_Compound_245_uff_E=435.43_uff_E=428.07,-8.7,0,0
pre_7bt5_lysRS_Compound_240_uff_E=518.75_uff_E=518.52,-8.7,0,0
pre_7bt5_lysRS_Compound_223_uff_E=243.31_uff_E=233.17,-8.7,0,0
pre_7bt5_lysRS_Compound_130_uff_E=321.24_uff_E=321.17,-8.7,0,0
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-8.7,0,0
pre_7bt5_lysRS_Compound_87_uff_E=279.13_uff_E=279.12,-8.6,0,0
pre_7bt5_lysRS_Compound_76_uff_E=292.77_uff_E=292.68,-8.6,0,0
pre_7bt5_lysRS_Compound_44_uff_E=359.59_uff_E=359.49,-8.6,0,0
pre_7bt5_lysRS_Compound_40_uff_E=385.31_uff_E=385.22,-8.6,0,0
pre_7bt5_lysRS_Compound_384_uff_E=455.38_uff_E=455.28,-8.6,0,0
pre_7bt5_lysRS_Compound_372_uff_E=514.22_uff_E=501.35,-8.6,0,0
pre_7bt5_lysRS_Compound_348_uff_E=204.90_uff_E=197.57,-8.6,0,0
pre_7bt5_lysRS_Compound_321_uff_E=408.81_uff_E=408.71,-8.6,0,0
pre_7bt5_lysRS_Compound_317_uff_E=284.23_uff_E=284.13,-8.6,0,0
pre_7bt5_lysRS_Compound_307_uff_E=524.16_uff_E=504.96,-8.6,0,0
pre_7bt5_lysRS_Compound_299_uff_E=668.57_uff_E=668.47,-8.6,0,0
pre_7bt5_lysRS_Compound_277_uff_E=659.46_uff_E=659.37,-8.6,0,0
pre_7bt5_lysRS_Compound_210_uff_E=460.18_uff_E=460.08,-8.6,0,0
