Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_pfpk5_1v0p_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-14.8,0,0
pre_pfpk5_1v0p_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-12.1,0,0
pre_pfpk5_1v0p_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-11.7,0,0
pre_pfpk5_1v0p_Compound_382_uff_E=539.57_uff_E=510.25,-9.2,0,0
pre_pfpk5_1v0p_Compound_197_uff_E=265.00_uff_E=264.90,-9.2,0,0
pre_pfpk5_1v0p_Compound_139_uff_E=286.36_uff_E=286.05,-9.2,0,0
pre_pfpk5_1v0p_Compound_75_uff_E=602.39_uff_E=578.78,-8.9,0,0
pre_pfpk5_1v0p_Compound_377_uff_E=1372.30_uff_E=879.26,-8.8,0,0
pre_pfpk5_1v0p_Compound_130_uff_E=730.32_uff_E=730.00,-8.7,0,0
pre_pfpk5_1v0p_Compound_51_uff_E=434.15_uff_E=434.06,-8.6,0,0
pre_pfpk5_1v0p_Compound_265_uff_E=616.89_uff_E=612.96,-8.6,0,0
pre_pfpk5_1v0p_Compound_227_uff_E=254.18_uff_E=240.72,-8.6,0,0
pre_pfpk5_1v0p_Compound_354_uff_E=737.88_uff_E=683.70,-8.5,0,0
pre_pfpk5_1v0p_Compound_335_uff_E=396.79_uff_E=396.69,-8.5,0,0
pre_pfpk5_1v0p_Compound_27_uff_E=513.73_uff_E=510.51,-8.5,0,0
pre_pfpk5_1v0p_Compound_26_uff_E=582.48_uff_E=569.13,-8.5,0,0
pre_pfpk5_1v0p_Compound_97_uff_E=397.94_uff_E=272.03,-8.4,0,0
pre_pfpk5_1v0p_Compound_83_uff_E=426.01_uff_E=387.66,-8.4,0,0
pre_pfpk5_1v0p_Compound_359_uff_E=369.43_uff_E=326.00,-8.4,0,0
pre_pfpk5_1v0p_Compound_347_uff_E=561.14_uff_E=560.69,-8.4,0,0
pre_pfpk5_1v0p_Compound_250_uff_E=358.28_uff_E=357.60,-8.4,0,0
pre_pfpk5_1v0p_Compound_158_uff_E=511.91_uff_E=490.38,-8.4,0,0
pre_pfpk5_1v0p_Compound_150_uff_E=1347.46_uff_E=1347.26,-8.4,0,0
pre_pfpk5_1v0p_Compound_4_uff_E=1557.68_uff_E=1442.13,-8.3,0,0
pre_pfpk5_1v0p_Compound_336_uff_E=485.25_uff_E=479.79,-8.3,0,0
pre_pfpk5_1v0p_Compound_262_uff_E=639.72_uff_E=639.62,-8.3,0,0
pre_pfpk5_1v0p_Compound_164_uff_E=876.95_uff_E=875.70,-8.3,0,0
pre_pfpk5_1v0p_Compound_140_uff_E=640.24_uff_E=640.15,-8.3,0,0
pre_pfpk5_1v0p_Compound_56_uff_E=745.41_uff_E=745.31,-8.2,0,0
pre_pfpk5_1v0p_Compound_348_uff_E=1383.67_uff_E=439.80,-8.2,0,0
pre_pfpk5_1v0p_Compound_29_uff_E=334.87_uff_E=334.64,-8.2,0,0
pre_pfpk5_1v0p_Compound_196_uff_E=352.64_uff_E=350.98,-8.2,0,0
pre_pfpk5_1v0p_Compound_62_uff_E=401.25_uff_E=376.74,-8.1,0,0
pre_pfpk5_1v0p_Compound_46_uff_E=924.43_uff_E=805.09,-8.1,0,0
pre_pfpk5_1v0p_Compound_384_uff_E=741.77_uff_E=741.55,-8.1,0,0
pre_pfpk5_1v0p_Compound_370_uff_E=493.50_uff_E=491.54,-8.1,0,0
pre_pfpk5_1v0p_Compound_369_uff_E=536.27_uff_E=509.29,-8.1,0,0
pre_pfpk5_1v0p_Compound_365_uff_E=503.30_uff_E=491.21,-8.1,0,0
pre_pfpk5_1v0p_Compound_363_uff_E=796.24_uff_E=737.72,-8.1,0,0
pre_pfpk5_1v0p_Compound_339_uff_E=1547.75_uff_E=1510.80,-8.1,0,0
pre_pfpk5_1v0p_Compound_328_uff_E=280.79_uff_E=271.15,-8.1,0,0
pre_pfpk5_1v0p_Compound_190_uff_E=589.53_uff_E=516.41,-8.1,0,0
pre_pfpk5_1v0p_Compound_178_uff_E=503.74_uff_E=503.64,-8.1,0,0
pre_pfpk5_1v0p_Compound_132_uff_E=440.37_uff_E=423.24,-8.1,0,0
pre_pfpk5_1v0p_Compound_5_uff_E=645.33_uff_E=567.58,-8,0,0
pre_pfpk5_1v0p_Compound_47_uff_E=362.87_uff_E=361.92,-8,0,0
pre_pfpk5_1v0p_Compound_40_uff_E=648.16_uff_E=647.94,-8,0,0
pre_pfpk5_1v0p_Compound_386_uff_E=736.53_uff_E=685.51,-8,0,0
pre_pfpk5_1v0p_Compound_313_uff_E=514.15_uff_E=514.07,-8,0,0
pre_pfpk5_1v0p_Compound_304_uff_E=370.96_uff_E=349.00,-8,0,0
pre_pfpk5_1v0p_Compound_241_uff_E=819.56_uff_E=819.35,-8,0,0
pre_pfpk5_1v0p_Compound_209_uff_E=445.06_uff_E=444.96,-8,0,0
pre_pfpk5_1v0p_Compound_89_uff_E=353.24_uff_E=331.78,-7.9,0,0
pre_pfpk5_1v0p_Compound_74_uff_E=615.24_uff_E=615.14,-7.9,0,0
pre_pfpk5_1v0p_Compound_53_uff_E=381.21_uff_E=380.35,-7.9,0,0
pre_pfpk5_1v0p_Compound_379_uff_E=1283.77_uff_E=1283.17,-7.9,0,0
pre_pfpk5_1v0p_Compound_295_uff_E=727.94_uff_E=664.46,-7.9,0,0
pre_pfpk5_1v0p_Compound_286_uff_E=386.68_uff_E=385.49,-7.9,0,0
pre_pfpk5_1v0p_Compound_281_uff_E=927.81_uff_E=869.17,-7.9,0,0
pre_pfpk5_1v0p_Compound_278_uff_E=596.47_uff_E=544.70,-7.9,0,0
pre_pfpk5_1v0p_Compound_220_uff_E=1144.93_uff_E=1027.92,-7.9,0,0
pre_pfpk5_1v0p_Compound_22_uff_E=370.53_uff_E=370.46,-7.9,0,0
pre_pfpk5_1v0p_Compound_183_uff_E=569.58_uff_E=541.82,-7.9,0,0
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,0,0
pre_pfpk5_1v0p_Compound_92_uff_E=752.19_uff_E=743.24,-7.8,0,0
pre_pfpk5_1v0p_Compound_81_uff_E=241.23_uff_E=241.14,-7.8,0,0
pre_pfpk5_1v0p_Compound_391_uff_E=503.32_uff_E=494.72,-7.8,0,0
pre_pfpk5_1v0p_Compound_380_uff_E=1639.65_uff_E=1608.74,-7.8,0,0
pre_pfpk5_1v0p_Compound_378_uff_E=644.43_uff_E=644.34,-7.8,0,0
pre_pfpk5_1v0p_Compound_35_uff_E=269.58_uff_E=269.48,-7.8,0,0
pre_pfpk5_1v0p_Compound_342_uff_E=641.82_uff_E=641.73,-7.8,0,0
pre_pfpk5_1v0p_Compound_247_uff_E=400.34_uff_E=399.62,-7.8,0,0
pre_pfpk5_1v0p_Compound_230_uff_E=665.84_uff_E=650.05,-7.8,0,0
pre_pfpk5_1v0p_Compound_210_uff_E=391.57_uff_E=391.37,-7.8,0,0
pre_pfpk5_1v0p_Compound_185_uff_E=777.77_uff_E=777.69,-7.8,0,0
pre_pfpk5_1v0p_Compound_170_uff_E=499.67_uff_E=456.84,-7.8,0,0
pre_pfpk5_1v0p_Compound_151_uff_E=808.24_uff_E=808.23,-7.8,0,0
pre_pfpk5_1v0p_Compound_69_uff_E=2036.42_uff_E=2034.73,-7.7,0,0
pre_pfpk5_1v0p_Compound_67_uff_E=325.95_uff_E=325.72,-7.7,0,0
pre_pfpk5_1v0p_Compound_42_uff_E=252.48_uff_E=252.39,-7.7,0,0
pre_pfpk5_1v0p_Compound_267_uff_E=665.24_uff_E=565.24,-7.7,0,0
pre_pfpk5_1v0p_Compound_254_uff_E=521.47_uff_E=475.94,-7.7,0,0
pre_pfpk5_1v0p_Compound_249_uff_E=397.17_uff_E=382.39,-7.7,0,0
pre_pfpk5_1v0p_Compound_228_uff_E=772.80_uff_E=772.70,-7.7,0,0
pre_pfpk5_1v0p_Compound_222_uff_E=875.40_uff_E=874.53,-7.7,0,0
pre_pfpk5_1v0p_Compound_165_uff_E=629.88_uff_E=587.21,-7.7,0,0
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.7,0,0
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,0,0
pre_pfpk5_1v0p_Compound_93_uff_E=559.07_uff_E=559.02,-7.6,0,0
pre_pfpk5_1v0p_Compound_68_uff_E=445.54_uff_E=445.34,-7.6,0,0
pre_pfpk5_1v0p_Compound_372_uff_E=804.57_uff_E=677.90,-7.6,0,0
pre_pfpk5_1v0p_Compound_346_uff_E=1551.35_uff_E=1545.02,-7.6,0,0
pre_pfpk5_1v0p_Compound_332_uff_E=571.51_uff_E=571.27,-7.6,0,0
pre_pfpk5_1v0p_Compound_274_uff_E=380.65_uff_E=303.10,-7.6,0,0
pre_pfpk5_1v0p_Compound_252_uff_E=299.67_uff_E=299.57,-7.6,0,0
pre_pfpk5_1v0p_Compound_225_uff_E=174.65_uff_E=174.56,-7.6,0,0
pre_pfpk5_1v0p_Compound_208_uff_E=642.04_uff_E=637.39,-7.6,0,0
pre_pfpk5_1v0p_Compound_191_uff_E=380.53_uff_E=380.43,-7.6,0,0
pre_pfpk5_1v0p_Compound_182_uff_E=378.22_uff_E=336.98,-7.6,0,0
pre_pfpk5_1v0p_Compound_157_uff_E=383.82_uff_E=383.72,-7.6,0,0
pre_pfpk5_1v0p_Compound_154_uff_E=1445.61_uff_E=1445.61,-7.6,0,0
pre_pfpk5_1v0p_Compound_14_uff_E=957.90_uff_E=957.85,-7.6,0,0
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.6,0,0
pre_pfpk5_1v0p_Compound_99_uff_E=471.81_uff_E=471.39,-7.5,0,0
pre_pfpk5_1v0p_Compound_7_uff_E=562.49_uff_E=553.12,-7.5,0,0
pre_pfpk5_1v0p_Compound_55_uff_E=385.57_uff_E=385.51,-7.5,0,0
pre_pfpk5_1v0p_Compound_54_uff_E=680.44_uff_E=680.24,-7.5,0,0
pre_pfpk5_1v0p_Compound_374_uff_E=350.84_uff_E=299.51,-7.5,0,0
pre_pfpk5_1v0p_Compound_325_uff_E=662.66_uff_E=662.57,-7.5,0,0
pre_pfpk5_1v0p_Compound_287_uff_E=165.11_uff_E=164.81,-7.5,0,0
pre_pfpk5_1v0p_Compound_284_uff_E=510.42_uff_E=510.21,-7.5,0,0
pre_pfpk5_1v0p_Compound_258_uff_E=496.96_uff_E=490.79,-7.5,0,0
pre_pfpk5_1v0p_Compound_175_uff_E=2539.21_uff_E=2537.25,-7.5,0,0
pre_pfpk5_1v0p_Compound_163_uff_E=386.98_uff_E=386.55,-7.5,0,0
pre_pfpk5_1v0p_Compound_137_uff_E=1496.87_uff_E=1433.43,-7.5,0,0
pre_pfpk5_1v0p_Compound_65_uff_E=239.89_uff_E=239.65,-7.4,0,0
pre_pfpk5_1v0p_Compound_57_uff_E=1302.98_uff_E=1302.76,-7.4,0,0
pre_pfpk5_1v0p_Compound_355_uff_E=1903.06_uff_E=1903.01,-7.4,0,0
pre_pfpk5_1v0p_Compound_353_uff_E=479.22_uff_E=457.90,-7.4,0,0
pre_pfpk5_1v0p_Compound_352_uff_E=574.49_uff_E=574.27,-7.4,0,0
pre_pfpk5_1v0p_Compound_338_uff_E=713.29_uff_E=712.96,-7.4,0,0
pre_pfpk5_1v0p_Compound_294_uff_E=623.17_uff_E=592.73,-7.4,0,0
pre_pfpk5_1v0p_Compound_292_uff_E=429.36_uff_E=428.95,-7.4,0,0
pre_pfpk5_1v0p_Compound_283_uff_E=994.47_uff_E=866.59,-7.4,0,0
pre_pfpk5_1v0p_Compound_280_uff_E=599.04_uff_E=598.95,-7.4,0,0
pre_pfpk5_1v0p_Compound_275_uff_E=1064.01_uff_E=1063.92,-7.4,0,0
pre_pfpk5_1v0p_Compound_223_uff_E=182.78_uff_E=182.71,-7.4,0,0
pre_pfpk5_1v0p_Compound_194_uff_E=466.90_uff_E=450.84,-7.4,0,0
pre_pfpk5_1v0p_Compound_188_uff_E=226.16_uff_E=226.07,-7.4,0,0
pre_pfpk5_1v0p_Compound_172_uff_E=294.16_uff_E=292.17,-7.4,0,0
pre_pfpk5_1v0p_Compound_135_uff_E=622.22_uff_E=620.15,-7.4,0,0
pre_pfpk5_1v0p_Compound_66_uff_E=433.80_uff_E=431.26,-7.3,0,0
pre_pfpk5_1v0p_Compound_36_uff_E=740.55_uff_E=740.35,-7.3,0,0
pre_pfpk5_1v0p_Compound_357_uff_E=159.56_uff_E=159.47,-7.3,0,0
pre_pfpk5_1v0p_Compound_291_uff_E=484.77_uff_E=484.53,-7.3,0,0
pre_pfpk5_1v0p_Compound_240_uff_E=443.94_uff_E=443.84,-7.3,0,0
pre_pfpk5_1v0p_Compound_23_uff_E=475.07_uff_E=474.97,-7.3,0,0
pre_pfpk5_1v0p_Compound_181_uff_E=302.53_uff_E=299.27,-7.3,0,0
pre_pfpk5_1v0p_Compound_145_uff_E=437.63_uff_E=414.42,-7.3,0,0
pre_pfpk5_1v0p_Compound_141_uff_E=915.22_uff_E=915.12,-7.3,0,0
pre_pfpk5_1v0p_Compound_390_uff_E=641.37_uff_E=570.90,-7.2,0,0
pre_pfpk5_1v0p_Compound_368_uff_E=164.44_uff_E=164.35,-7.2,0,0
pre_pfpk5_1v0p_Compound_340_uff_E=245.57_uff_E=245.48,-7.2,0,0
pre_pfpk5_1v0p_Compound_303_uff_E=571.28_uff_E=571.21,-7.2,0,0
pre_pfpk5_1v0p_Compound_263_uff_E=462.95_uff_E=461.34,-7.2,0,0
pre_pfpk5_1v0p_Compound_245_uff_E=444.65_uff_E=444.31,-7.2,0,0
pre_pfpk5_1v0p_Compound_238_uff_E=172.72_uff_E=172.65,-7.2,0,0
pre_pfpk5_1v0p_Compound_205_uff_E=588.81_uff_E=588.72,-7.2,0,0
pre_pfpk5_1v0p_Compound_2_uff_E=932.54_uff_E=932.48,-7.2,0,0
pre_pfpk5_1v0p_Compound_186_uff_E=389.76_uff_E=389.67,-7.2,0,0
pre_pfpk5_1v0p_Compound_156_uff_E=1886.62_uff_E=1886.53,-7.2,0,0
pre_pfpk5_1v0p_Compound_149_uff_E=389.96_uff_E=389.24,-7.2,0,0
pre_pfpk5_1v0p_Compound_91_uff_E=210.74_uff_E=210.37,-7.1,0,0
pre_pfpk5_1v0p_Compound_6_uff_E=973.23_uff_E=927.64,-7.1,0,0
pre_pfpk5_1v0p_Compound_389_uff_E=406.60_uff_E=406.25,-7.1,0,0
pre_pfpk5_1v0p_Compound_376_uff_E=999.75_uff_E=865.08,-7.1,0,0
pre_pfpk5_1v0p_Compound_344_uff_E=189.36_uff_E=189.15,-7.1,0,0
pre_pfpk5_1v0p_Compound_341_uff_E=554.01_uff_E=553.92,-7.1,0,0
pre_pfpk5_1v0p_Compound_337_uff_E=453.10_uff_E=453.01,-7.1,0,0
pre_pfpk5_1v0p_Compound_321_uff_E=532.08_uff_E=456.48,-7.1,0,0
