Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_pfpk5_1v0p_Compound_98_uff_E=852.38_uff_E=830.33,-11.1,0,0
pre_pfpk5_1v0p_Compound_270_uff_E=729.48_uff_E=729.28,-11.1,0,0
pre_pfpk5_1v0p_Compound_197_uff_E=355.96_uff_E=355.54,-10.9,0,0
pre_pfpk5_1v0p_Compound_88_uff_E=745.35_uff_E=745.14,-10.8,0,0
pre_pfpk5_1v0p_Compound_137_uff_E=493.78_uff_E=489.60,-10.6,0,0
pre_pfpk5_1v0p_Compound_116_uff_E=202.15_uff_E=199.11,-10.4,0,0
pre_pfpk5_1v0p_Compound_298_uff_E=809.33_uff_E=797.20,-10.3,0,0
pre_pfpk5_1v0p_Compound_95_uff_E=471.81_uff_E=471.39,-10.2,0,0
pre_pfpk5_1v0p_Compound_66_uff_E=735.86_uff_E=735.66,-10.2,0,0
pre_pfpk5_1v0p_Compound_307_uff_E=524.16_uff_E=504.96,-10.2,0,0
pre_pfpk5_1v0p_Compound_279_uff_E=1114.29_uff_E=1008.29,-10.2,0,0
pre_pfpk5_1v0p_Compound_226_uff_E=466.90_uff_E=450.84,-10.2,0,0
pre_pfpk5_1v0p_Compound_17_uff_E=300.51_uff_E=284.40,-10.2,0,0
pre_pfpk5_1v0p_Compound_117_uff_E=582.86_uff_E=581.02,-10.2,0,0
pre_pfpk5_1v0p_Compound_61_uff_E=1136.85_uff_E=1134.13,-10.1,0,0
pre_pfpk5_1v0p_Compound_19_uff_E=414.16_uff_E=404.28,-10,0,0
pre_pfpk5_1v0p_Compound_129_uff_E=244.21_uff_E=244.13,-10,0,0
pre_pfpk5_1v0p_Compound_123_uff_E=528.11_uff_E=466.97,-10,0,0
pre_pfpk5_1v0p_Compound_299_uff_E=668.57_uff_E=668.47,-9.9,0,0
pre_pfpk5_1v0p_Compound_286_uff_E=596.54_uff_E=550.74,-9.9,0,0
pre_pfpk5_1v0p_Compound_277_uff_E=659.46_uff_E=659.37,-9.9,0,0
pre_pfpk5_1v0p_Compound_265_uff_E=458.19_uff_E=457.93,-9.9,0,0
pre_pfpk5_1v0p_Compound_264_uff_E=1071.71_uff_E=1060.96,-9.9,0,0
pre_pfpk5_1v0p_Compound_259_uff_E=491.68_uff_E=464.66,-9.9,0,0
pre_pfpk5_1v0p_Compound_85_uff_E=816.43_uff_E=816.03,-9.8,0,0
pre_pfpk5_1v0p_Compound_131_uff_E=398.41_uff_E=354.34,-9.8,0,0
pre_pfpk5_1v0p_Compound_126_uff_E=286.30_uff_E=285.58,-9.8,0,0
pre_pfpk5_1v0p_Compound_103_uff_E=665.22_uff_E=662.67,-9.8,0,0
pre_pfpk5_1v0p_Compound_373_uff_E=240.66_uff_E=240.58,-9.7,0,0
