Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.4,0.0,0.0
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.4,5.247,1.945
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.3,5.211,2.324
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.3,5.897,2.469
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.3,7.116,3.082
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.2,6.273,2.676
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-8.1,5.682,1.961
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,6.109,2.983
pre_1lf3_plasmepsin2_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,6.411,2.541
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.8,0.0,0.0
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.8,8.353,5.018
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.6,5.798,3.092
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.4,8.031,4.619
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.3,9.004,3.126
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.3,5.332,2.83
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.3,5.373,3.741
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.2,8.692,3.487
pre_1lf3_plasmepsin2_Compound_101_uff_E=706.73_uff_E=700.28,-7.1,6.93,1.946
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.7,0.0,0.0
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.4,7.685,1.075
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.3,2.531,2.002
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.2,8.517,3.64
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.2,7.619,5.2
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.2,7.255,5.118
pre_1lf3_plasmepsin2_Compound_102_uff_E=251.75_uff_E=235.07,-8.0,9.357,3.925
