Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,0.0,0.0
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-9.0,2.577,2.042
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.8,25.646,23.077
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.8,20.707,18.385
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.8,21.665,18.703
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.6,21.383,18.459
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.5,25.007,21.615
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.5,16.771,13.221
pre_1q4j_PfGST1_Compound_100_uff_E=653.94_uff_E=653.75,-8.3,26.835,24.009
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.9,0.0,0.0
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.6,26.182,23.825
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.5,33.916,29.145
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.3,40.38,35.995
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.3,27.489,25.304
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.0,39.494,35.15
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-7.0,32.517,30.212
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,34.73,32.963
pre_1q4j_PfGST1_Compound_101_uff_E=706.73_uff_E=700.28,-6.7,45.266,40.82
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.9,0.0,0.0
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.7,2.645,2.057
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,11.9,5.477
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,7.561,5.099
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,11.859,6.124
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.4,30.044,27.985
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.4,31.235,27.999
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.2,30.169,28.108
pre_1q4j_PfGST1_Compound_102_uff_E=251.75_uff_E=235.07,-7.2,29.648,27.57
