Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-8.1,0.0,0.0
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-8.0,43.384,41.062
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,33.683,30.332
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.9,44.005,41.483
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.8,32.771,29.882
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,43.663,41.07
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,37.196,34.299
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,42.498,40.476
pre_6dsr_ompdc_Compound_100_uff_E=653.94_uff_E=653.75,-7.6,43.73,41.113
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-7.1,0.0,0.0
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.9,44.004,41.632
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,43.956,41.593
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,44.452,41.44
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,43.263,40.506
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.7,2.605,1.641
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.6,44.753,42.211
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.5,19.635,14.303
pre_6dsr_ompdc_Compound_101_uff_E=706.73_uff_E=700.28,-6.4,45.471,42.896
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-8.3,0.0,0.0
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-8.3,57.073,52.425
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.8,2.482,1.997
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.5,31.73,30.41
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.3,31.347,30.066
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.2,54.576,52.171
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.2,23.004,18.784
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.1,54.558,52.239
pre_6dsr_ompdc_Compound_102_uff_E=251.75_uff_E=235.07,-7.1,30.217,26.684
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.4,0.0,0.0
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.4,41.673,40.951
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.3,25.925,24.34
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.3,21.613,19.942
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.2,2.147,1.588
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.1,26.934,25.339
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.1,42.056,41.328
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.0,27.888,26.855
pre_6dsr_ompdc_Compound_103_uff_E=328.89_uff_E=328.80,-6.0,43.174,42.469
pre_6dsr_ompdc_Compound_104_uff_E=203.96_uff_E=203.86,-6.6,0.0,0.0
