Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.9,0.0,0.0
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,32.894,31.053
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,7.897,5.593
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,33.331,31.607
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.7,32.966,31.181
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.6,6.952,4.181
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.6,33.602,31.032
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.5,2.516,1.854
pre_7bt5_lysRS_Compound_100_uff_E=653.94_uff_E=653.75,-9.2,7.003,4.16
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-9.6,0.0,0.0
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.9,3.186,2.266
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.8,2.047,1.549
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.6,36.159,34.151
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.3,35.649,33.534
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.3,23.657,19.364
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.2,4.685,3.67
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.0,5.312,2.926
pre_7bt5_lysRS_Compound_101_uff_E=706.73_uff_E=700.28,-8.0,35.636,34.183
pre_7bt5_lysRS_Compound_102_uff_E=251.75_uff_E=235.07,-8.8,0.0,0.0
pre_7bt5_lysRS_Compound_102_uff_E=251.75_uff_E=235.07,-8.7,10.061,3.927
