Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,0.0,0.0
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.7,17.243,13.537
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.5,5.372,2.278
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.4,18.738,14.469
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.4,6.644,2.433
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.4,17.2,14.268
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.3,5.672,2.599
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.2,6.735,2.935
pre_pfpk5_1v0p_Compound_100_uff_E=653.94_uff_E=653.75,-7.2,5.541,2.378
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.9,0.0,0.0
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.9,4.844,2.798
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.8,4.189,3.331
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.6,14.636,11.594
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.5,3.641,2.699
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.2,5.465,3.892
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.2,10.125,3.483
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.1,3.073,2.099
pre_pfpk5_1v0p_Compound_101_uff_E=706.73_uff_E=700.28,-6.1,9.058,4.097
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.6,0.0,0.0
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.4,2.196,1.725
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.3,7.438,5.129
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.1,9.454,2.788
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.1,9.367,1.866
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-7.0,14.53,12.152
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-6.9,15.229,12.851
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-6.7,16.235,12.15
pre_pfpk5_1v0p_Compound_102_uff_E=251.75_uff_E=235.07,-6.6,10.774,7.306
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-5.4,0.0,0.0
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-5.2,12.105,11.914
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-5.0,2.08,1.742
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.9,3.662,2.586
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.8,5.807,3.917
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.8,13.433,13.048
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.5,21.718,20.824
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.5,12.657,12.509
pre_pfpk5_1v0p_Compound_103_uff_E=328.89_uff_E=328.80,-4.5,1.593,1.54
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.3,0.0,0.0
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.2,13.883,11.889
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.2,2.786,0.086
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.1,12.887,10.582
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.1,12.55,10.368
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-6.0,12.144,10.101
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-5.8,15.26,12.454
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-5.8,15.268,12.447
pre_pfpk5_1v0p_Compound_104_uff_E=203.96_uff_E=203.86,-5.7,11.702,10.135
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-6.4,0.0,0.0
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,13.395,11.497
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,15.667,12.965
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,6.767,4.78
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-6.1,6.355,4.146
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-5.9,16.817,14.024
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-5.8,16.398,14.141
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-5.6,14.396,11.619
pre_pfpk5_1v0p_Compound_105_uff_E=766.20_uff_E=765.71,-5.6,14.717,12.214
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-7.1,0.0,0.0
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-7.0,2.102,1.353
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.9,17.062,13.909
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.9,16.353,13.326
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.9,2.486,1.75
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.7,3.331,2.45
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.6,14.009,11.264
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,14.071,11.273
pre_pfpk5_1v0p_Compound_106_uff_E=783.28_uff_E=708.93,-6.5,17.519,14.166
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.7,0.0,0.0
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.6,5.926,3.636
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.5,9.466,7.046
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.5,2.223,1.382
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.3,8.546,7.183
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,5.697,3.452
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,9.095,6.534
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.2,12.604,11.04
pre_pfpk5_1v0p_Compound_107_uff_E=226.43_uff_E=223.57,-6.1,14.864,13.218
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.8,0.0,0.0
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.8,6.193,1.645
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.4,14.821,12.099
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.4,9.593,5.171
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.3,3.312,1.922
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.2,6.321,1.836
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-6.1,9.689,5.478
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-5.8,3.967,2.734
pre_pfpk5_1v0p_Compound_108_uff_E=484.19_uff_E=484.10,-5.7,4.078,2.456
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.3,0.0,0.0
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.2,2.861,1.708
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.2,15.943,13.272
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.2,2.275,1.34
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.1,3.461,2.396
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.0,12.429,10.871
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-5.0,5.2,2.851
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-4.8,6.456,1.477
pre_pfpk5_1v0p_Compound_109_uff_E=80.52_uff_E=80.42,-4.8,2.768,1.774
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.8,0.0,0.0
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.7,5.169,1.732
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.7,5.177,1.619
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.7,5.762,2.306
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.6,13.915,11.593
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.5,11.378,9.409
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.5,5.419,2.066
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.4,5.182,2.166
pre_pfpk5_1v0p_Compound_10_uff_E=244.17_uff_E=244.13,-5.1,11.747,9.819
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.7,0.0,0.0
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.7,7.419,3.693
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,2.877,2.069
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,16.594,13.801
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.6,1.906,1.557
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.4,8.137,5.797
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.3,15.109,13.511
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.2,15.98,14.864
pre_pfpk5_1v0p_Compound_110_uff_E=544.19_uff_E=544.10,-6.1,19.134,16.362
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.8,0.0,0.0
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.5,12.151,10.214
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.5,2.262,1.63
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.4,14.36,12.199
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.4,12.113,10.305
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.3,12.705,10.274
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.2,9.598,5.432
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-6.0,5.656,1.836
pre_pfpk5_1v0p_Compound_111_uff_E=507.78_uff_E=507.55,-5.8,13.621,10.825
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-7.0,0.0,0.0
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.9,2.182,1.886
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.8,7.873,2.753
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.7,17.176,13.696
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.6,8.133,2.462
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.6,8.27,3.164
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.4,14.069,12.993
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.3,15.057,13.39
pre_pfpk5_1v0p_Compound_112_uff_E=401.24_uff_E=401.01,-6.2,16.253,12.673
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.9,0.0,0.0
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.7,2.201,1.592
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.5,7.221,4.421
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.5,16.039,13.415
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.4,16.678,13.711
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.3,7.452,3.689
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.3,19.42,15.83
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.2,9.402,5.404
pre_pfpk5_1v0p_Compound_113_uff_E=432.02_uff_E=385.54,-6.2,6.082,3.91
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.4,0.0,0.0
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.3,6.172,1.919
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.3,6.115,2.002
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.3,3.782,1.934
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,6.119,1.782
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,6.106,1.81
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,6.691,2.002
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,5.881,2.079
pre_pfpk5_1v0p_Compound_114_uff_E=132.46_uff_E=132.38,-5.2,5.149,2.191
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.7,0.0,0.0
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.6,4.705,2.906
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.3,17.141,14.19
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.2,4.991,3.513
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.1,8.95,5.686
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-7.0,16.893,14.237
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-6.9,15.837,13.346
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-6.7,16.135,13.579
pre_pfpk5_1v0p_Compound_115_uff_E=213.72_uff_E=213.63,-6.5,11.074,7.373
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,0.0,0.0
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.9,5.963,1.394
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.8,1.877,1.387
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.7,2.323,1.772
pre_pfpk5_1v0p_Compound_116_uff_E=963.32_uff_E=963.22,-7.2,2.486,2.377
