Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.8,0.0,0.0
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,5.614,3.33
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,4.535,2.504
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.2,4.921,2.672
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.2,18.156,14.78
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.2,23.847,19.384
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.2,18.097,15.055
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.1,18.132,14.956
pre_1q4j_PfGST1_Compound_100_uff_E=527.74_uff_E=527.64,-7.0,24.461,19.679
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.8,0.0,0.0
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.8,43.853,40.764
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,7.737,2.795
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,44.17,40.892
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.4,9.227,3.044
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.3,29.411,25.438
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.2,8.274,3.955
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.2,33.072,30.074
pre_1q4j_PfGST1_Compound_101_uff_E=668.88_uff_E=668.79,-7.2,13.357,8.334
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-10.1,0.0,0.0
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-8.1,25.123,21.281
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-8.1,23.563,21.101
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-8.0,21.437,17.084
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-7.8,23.332,19.849
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-7.8,24.557,19.839
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-7.7,25.016,21.215
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-7.7,23.053,19.631
pre_1q4j_PfGST1_Compound_102_uff_E=897.32_uff_E=780.30,-7.7,38.574,35.033
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-8.1,0.0,0.0
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-8.0,33.677,31.542
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.8,15.257,9.402
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.8,7.495,4.326
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.7,34.464,31.912
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.7,2.27,1.676
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.6,6.062,3.517
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.6,38.334,36.847
pre_1q4j_PfGST1_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,21.412,17.746
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-5.1,0.0,0.0
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-5.1,2.165,1.935
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-5.1,3.524,2.343
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-5.0,46.935,45.37
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,15.77,14.985
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-4.8,8.48,7.434
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-4.6,10.56,9.687
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-4.6,10.79,9.916
pre_1q4j_PfGST1_Compound_104_uff_E=46.87_uff_E=46.66,-4.6,10.104,9.101
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.2,0.0,0.0
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.0,40.834,37.422
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.9,17.731,15.485
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.9,29.512,26.691
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.9,5.176,1.112
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.7,20.608,16.647
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.6,17.854,15.367
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.6,41.015,37.679
pre_1q4j_PfGST1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.6,40.65,37.055
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-8.3,0.0,0.0
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-8.3,8.251,2.091
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-7.7,7.998,5.627
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-7.3,21.04,18.941
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-7.0,44.693,41.72
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-7.0,24.685,22.753
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.8,23.76,20.848
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.8,24.832,23.205
pre_1q4j_PfGST1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.6,22.909,19.866
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.9,0.0,0.0
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.6,12.615,8.446
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.6,3.131,2.229
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.4,9.666,3.278
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.4,3.006,2.136
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.2,37.402,33.863
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.1,13.16,11.453
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.1,3.176,2.556
pre_1q4j_PfGST1_Compound_107_uff_E=493.30_uff_E=493.10,-7.0,2.34,1.963
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-7.3,0.0,0.0
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-7.2,22.854,21.016
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-7.2,23.038,20.962
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.9,27.895,25.065
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.8,20.848,17.54
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.7,36.463,34.155
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.7,26.0,23.116
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.6,22.145,18.327
pre_1q4j_PfGST1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.6,24.216,19.584
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.8,0.0,0.0
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.8,30.889,29.921
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.7,30.567,27.3
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.6,30.927,27.607
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.5,9.412,2.71
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.3,30.852,27.487
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-6.2,31.148,30.19
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-5.9,45.951,44.06
pre_1q4j_PfGST1_Compound_109_uff_E=850.95_uff_E=850.85,-5.9,36.757,33.761
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.3,0.0,0.0
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.2,27.938,26.522
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.0,7.874,5.44
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.0,19.074,17.504
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.9,41.811,40.579
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.7,41.839,40.629
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.7,19.891,17.957
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.6,17.061,14.275
pre_1q4j_PfGST1_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.5,28.288,26.852
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-7.1,0.0,0.0
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-7.0,19.608,18.189
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.8,20.038,18.274
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.8,23.688,22.236
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.8,3.334,2.936
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.7,44.069,42.605
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.7,24.286,22.535
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.6,44.106,42.749
pre_1q4j_PfGST1_Compound_110_uff_E=588.67_uff_E=588.45,-6.5,24.717,22.541
pre_1q4j_PfGST1_Compound_111_uff_E=1420.08_uff_E=1419.74,-8.1,0.0,0.0
pre_1q4j_PfGST1_Compound_111_uff_E=1420.08_uff_E=1419.74,-7.6,28.345,26.576
