Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-7.3,0.0,0.0
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-7.3,3.952,2.115
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.9,4.83,2.455
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.9,7.905,3.858
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.8,3.884,1.964
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.7,3.93,2.239
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.7,3.663,1.88
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.6,18.251,14.296
pre_3k60_pfhsp90_Compound_100_uff_E=527.74_uff_E=527.64,-6.6,3.361,1.835
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.8,0.0,0.0
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.7,3.532,2.331
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.6,15.654,11.185
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.6,6.775,4.042
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.4,9.207,4.406
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.4,7.973,3.878
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-6.1,10.413,4.823
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-5.9,16.113,10.196
pre_3k60_pfhsp90_Compound_101_uff_E=668.88_uff_E=668.79,-5.9,11.291,6.664
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-7.6,0.0,0.0
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-7.6,10.559,2.79
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-7.4,10.486,5.702
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-7.2,10.239,3.28
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-6.9,7.957,4.212
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-6.4,2.9,1.876
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-6.4,17.2,14.117
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-6.4,2.807,2.215
pre_3k60_pfhsp90_Compound_102_uff_E=897.32_uff_E=780.30,-6.4,3.346,2.386
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,0.0,0.0
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.4,4.207,2.225
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.4,4.496,2.429
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.4,2.222,1.536
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,4.044,2.315
pre_3k60_pfhsp90_Compound_103_uff_E=665.22_uff_E=662.67,-7.2,8.282,2.897
