Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_100_uff_E=527.74_uff_E=527.64,-1.5,0.0,0.0
pre_6dsr_ompdc_Compound_100_uff_E=527.74_uff_E=527.64,-1.5,2.398,0.662
pre_6dsr_ompdc_Compound_100_uff_E=527.74_uff_E=527.64,-1.5,3.529,2.187
pre_6dsr_ompdc_Compound_100_uff_E=527.74_uff_E=527.64,1.2,28.248,24.578
pre_6dsr_ompdc_Compound_101_uff_E=668.88_uff_E=668.79,21.9,0.0,0.0
pre_6dsr_ompdc_Compound_101_uff_E=668.88_uff_E=668.79,22.3,1.847,1.185
pre_6dsr_ompdc_Compound_101_uff_E=668.88_uff_E=668.79,23.9,26.793,22.917
pre_6dsr_ompdc_Compound_102_uff_E=897.32_uff_E=780.30,14.6,0.0,0.0
pre_6dsr_ompdc_Compound_103_uff_E=665.22_uff_E=662.67,-1.3,0.0,0.0
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-5.1,0.0,0.0
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-5.0,27.459,26.603
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-5.0,14.002,13.103
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,2.326,1.977
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,14.369,13.587
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.8,4.68,3.885
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.7,28.486,27.618
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.7,26.526,25.83
pre_6dsr_ompdc_Compound_104_uff_E=46.87_uff_E=46.66,-4.6,27.622,26.709
pre_6dsr_ompdc_Compound_105_uff_E=1074.66_uff_E=1074.57,4.9,0.0,0.0
pre_6dsr_ompdc_Compound_106_uff_E=2001.83_uff_E=2001.74,-1.9,0.0,0.0
pre_6dsr_ompdc_Compound_106_uff_E=2001.83_uff_E=2001.74,-0.8,27.781,24.823
pre_6dsr_ompdc_Compound_106_uff_E=2001.83_uff_E=2001.74,0.8,28.559,25.56
pre_6dsr_ompdc_Compound_107_uff_E=493.30_uff_E=493.10,4.3,0.0,0.0
pre_6dsr_ompdc_Compound_107_uff_E=493.30_uff_E=493.10,4.9,27.854,24.328
pre_6dsr_ompdc_Compound_107_uff_E=493.30_uff_E=493.10,5.5,2.229,1.627
pre_6dsr_ompdc_Compound_107_uff_E=493.30_uff_E=493.10,5.9,1.888,1.744
pre_6dsr_ompdc_Compound_107_uff_E=493.30_uff_E=493.10,6.1,2.072,1.426
pre_6dsr_ompdc_Compound_108_uff_E=1528.53_uff_E=1528.43,-0.4,0.0,0.0
pre_6dsr_ompdc_Compound_108_uff_E=1528.53_uff_E=1528.43,1.5,2.071,1.233
pre_6dsr_ompdc_Compound_108_uff_E=1528.53_uff_E=1528.43,2.4,6.957,2.076
pre_6dsr_ompdc_Compound_109_uff_E=850.95_uff_E=850.85,9.6,0.0,0.0
pre_6dsr_ompdc_Compound_109_uff_E=850.95_uff_E=850.85,10.3,2.679,2.118
pre_6dsr_ompdc_Compound_109_uff_E=850.95_uff_E=850.85,10.8,1.805,1.334
pre_6dsr_ompdc_Compound_10_uff_E=1734.98_uff_E=1734.95,-4.2,0.0,0.0
pre_6dsr_ompdc_Compound_110_uff_E=588.67_uff_E=588.45,-5.9,0.0,0.0
pre_6dsr_ompdc_Compound_110_uff_E=588.67_uff_E=588.45,-3.6,8.159,2.834
pre_6dsr_ompdc_Compound_110_uff_E=588.67_uff_E=588.45,-3.4,2.177,1.952
pre_6dsr_ompdc_Compound_110_uff_E=588.67_uff_E=588.45,-3.0,27.957,25.394
pre_6dsr_ompdc_Compound_111_uff_E=1420.08_uff_E=1419.74,-3.7,0.0,0.0
pre_6dsr_ompdc_Compound_112_uff_E=4617.65_uff_E=3627.25,144.0,0.0,0.0
pre_6dsr_ompdc_Compound_113_uff_E=524.99_uff_E=524.79,3.2,0.0,0.0
pre_6dsr_ompdc_Compound_114_uff_E=304.92_uff_E=304.84,-3.2,0.0,0.0
pre_6dsr_ompdc_Compound_114_uff_E=304.92_uff_E=304.84,-2.3,3.726,2.021
pre_6dsr_ompdc_Compound_114_uff_E=304.92_uff_E=304.84,-1.8,3.965,2.029
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-7.0,0.0,0.0
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-7.0,6.29,3.758
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-6.6,2.127,1.216
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-6.6,5.848,3.853
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-6.3,6.377,3.774
pre_6dsr_ompdc_Compound_115_uff_E=352.37_uff_E=352.17,-5.4,6.151,3.722
