Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.6,0.0,0.0
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,2.235,0.69
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.4,4.302,2.253
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.1,5.016,2.752
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.1,4.326,2.703
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-7.0,4.093,2.615
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-6.9,4.574,2.687
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-6.8,3.783,2.356
pre_6m20_pfHt1_Compound_100_uff_E=527.74_uff_E=527.64,-6.6,5.012,2.766
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.7,0.0,0.0
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,6.565,3.611
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,4.78,2.821
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,8.184,3.519
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.5,5.8,2.611
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.4,6.478,3.793
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.4,6.837,2.813
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.4,7.205,2.792
pre_6m20_pfHt1_Compound_101_uff_E=668.88_uff_E=668.79,-7.4,7.283,2.587
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-8.4,0.0,0.0
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-8.2,6.951,2.773
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.2,3.759,2.677
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.2,4.869,3.054
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.1,4.3,2.494
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.1,6.459,3.037
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.1,4.269,2.748
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.0,6.834,2.99
pre_6m20_pfHt1_Compound_102_uff_E=897.32_uff_E=780.30,-7.0,8.99,2.789
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.6,0.0,0.0
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,2.305,1.733
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,7.016,2.648
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,1.802,1.653
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.4,8.64,4.29
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,4.428,2.571
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,13.907,10.567
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.2,9.028,4.557
pre_6m20_pfHt1_Compound_103_uff_E=665.22_uff_E=662.67,-7.2,8.692,4.049
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.5,0.0,0.0
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.5,2.514,2.074
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.5,2.328,1.913
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.4,3.648,2.519
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.4,2.801,2.334
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.3,4.288,3.864
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.2,2.111,1.822
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.2,11.706,10.705
pre_6m20_pfHt1_Compound_104_uff_E=46.87_uff_E=46.66,-4.1,3.297,2.503
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.3,0.0,0.0
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.2,5.169,1.573
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.1,2.543,1.816
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.1,5.321,2.291
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.1,2.268,1.65
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.0,2.596,2.04
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.0,5.35,2.27
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.0,5.37,1.89
pre_6m20_pfHt1_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.9,3.056,2.334
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.9,0.0,0.0
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.7,2.507,1.809
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.4,1.483,1.163
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.3,8.484,2.915
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.3,3.501,2.843
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.2,2.707,2.326
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.2,10.674,5.98
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.2,8.636,2.967
pre_6m20_pfHt1_Compound_106_uff_E=2001.83_uff_E=2001.74,-6.0,9.052,6.517
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.9,0.0,0.0
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.8,11.923,10.283
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.8,12.734,11.589
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.7,12.258,10.952
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.7,12.957,11.307
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.6,11.851,10.285
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.6,12.692,11.135
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.3,16.747,14.399
pre_6m20_pfHt1_Compound_107_uff_E=493.30_uff_E=493.10,-6.2,16.381,13.734
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.5,0.0,0.0
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.2,2.491,1.513
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.2,3.569,1.907
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.1,4.051,2.017
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.1,4.16,1.662
pre_6m20_pfHt1_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.0,3.583,2.251
