Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-6.4,0.0,0.0
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-6.3,2.175,0.605
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-6.1,7.701,2.779
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.9,6.575,2.163
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.8,7.798,3.003
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.8,7.472,2.954
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.7,7.505,2.888
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.4,5.452,3.028
pre_7bt5_lysRS_Compound_100_uff_E=527.74_uff_E=527.64,-5.2,5.291,2.865
pre_7bt5_lysRS_Compound_101_uff_E=668.88_uff_E=668.79,-6.1,0.0,0.0
pre_7bt5_lysRS_Compound_101_uff_E=668.88_uff_E=668.79,-5.8,13.456,5.837
pre_7bt5_lysRS_Compound_101_uff_E=668.88_uff_E=668.79,-5.0,11.514,4.839
pre_7bt5_lysRS_Compound_101_uff_E=668.88_uff_E=668.79,-5.0,10.081,4.642
pre_7bt5_lysRS_Compound_102_uff_E=897.32_uff_E=780.30,-7.1,0.0,0.0
pre_7bt5_lysRS_Compound_102_uff_E=897.32_uff_E=780.30,-5.6,7.946,2.262
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,0.0,0.0
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.5,8.011,2.614
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,3.742,2.192
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,3.668,2.371
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.3,7.74,2.694
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-7.1,2.44,1.806
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-6.9,7.884,2.823
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-6.4,3.727,1.987
pre_7bt5_lysRS_Compound_103_uff_E=665.22_uff_E=662.67,-6.3,7.885,4.256
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-5.2,0.0,0.0
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-5.2,4.36,2.895
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-5.2,7.399,6.425
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-5.2,7.066,6.493
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-5.0,6.022,5.528
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,2.497,2.243
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,6.335,5.871
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-4.9,4.374,2.932
pre_7bt5_lysRS_Compound_104_uff_E=46.87_uff_E=46.66,-4.7,6.172,5.485
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-7.2,0.0,0.0
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.8,5.207,1.76
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.7,5.103,0.963
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.7,6.291,2.33
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.5,6.105,2.569
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.5,6.841,2.232
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.3,5.37,2.2
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.3,3.85,1.837
pre_7bt5_lysRS_Compound_105_uff_E=1074.66_uff_E=1074.57,-6.1,5.569,2.436
pre_7bt5_lysRS_Compound_106_uff_E=2001.83_uff_E=2001.74,-8.0,0.0,0.0
pre_7bt5_lysRS_Compound_106_uff_E=2001.83_uff_E=2001.74,-8.0,8.145,2.138
pre_7bt5_lysRS_Compound_106_uff_E=2001.83_uff_E=2001.74,-7.3,1.83,1.371
pre_7bt5_lysRS_Compound_106_uff_E=2001.83_uff_E=2001.74,-5.8,8.64,4.227
pre_7bt5_lysRS_Compound_106_uff_E=2001.83_uff_E=2001.74,-5.7,8.477,4.276
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-7.1,0.0,0.0
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-7.1,12.217,6.811
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-6.9,2.421,1.788
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-6.5,9.784,5.188
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-6.2,12.438,6.897
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-6.1,9.958,5.398
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-5.9,12.033,6.614
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-5.6,10.708,4.897
pre_7bt5_lysRS_Compound_107_uff_E=493.30_uff_E=493.10,-5.5,9.49,4.678
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.2,0.0,0.0
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.1,3.207,2.377
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.1,8.401,3.907
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-6.0,6.913,3.162
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.8,7.41,3.414
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.8,3.623,1.871
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.5,4.002,2.602
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.2,7.379,2.345
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.1,6.927,3.357
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-4.6,0.0,0.0
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-4.3,10.005,2.479
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-3.4,3.522,2.884
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-3.4,9.415,2.176
