Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.9,0.0,0.0
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.8,3.026,1.154
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.5,25.488,22.196
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.4,4.486,2.243
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.4,3.302,2.154
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.3,8.252,3.462
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.2,19.289,16.572
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-7.0,22.848,19.216
pre_pfpk5_1v0p_Compound_100_uff_E=527.74_uff_E=527.64,-6.9,7.132,3.401
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-9.2,0.0,0.0
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-9.0,6.463,2.395
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-9.0,4.964,2.192
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.9,7.498,4.291
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.8,6.565,3.336
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.6,22.074,19.804
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.5,8.15,3.205
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.4,25.216,22.706
pre_pfpk5_1v0p_Compound_101_uff_E=668.88_uff_E=668.79,-8.4,7.359,3.266
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.5,0.0,0.0
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.5,19.504,16.472
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.4,6.867,5.247
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.4,18.106,15.352
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.3,17.904,14.776
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.3,21.436,18.338
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.2,15.633,11.683
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.2,8.696,3.91
pre_pfpk5_1v0p_Compound_102_uff_E=897.32_uff_E=780.30,-8.1,20.979,18.464
pre_pfpk5_1v0p_Compound_103_uff_E=665.22_uff_E=662.67,-9.8,0.0,0.0
pre_pfpk5_1v0p_Compound_103_uff_E=665.22_uff_E=662.67,-9.4,4.61,2.96
pre_pfpk5_1v0p_Compound_103_uff_E=665.22_uff_E=662.67,-9.1,3.491,1.41
pre_pfpk5_1v0p_Compound_103_uff_E=665.22_uff_E=662.67,-8.8,6.609,3.999
